ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
447,Niklas Süle,de GER,DF,Dortmund,27,1995,23,14,1514,16.8,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,19,83,9,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,Matches
448,Mattias Svanberg,se SWE,MF,Wolfsburg,24,1999,25,20,1715,19.1,1,3,4,1,0,0,8,0,3.0,3.0,2.3,5.3,28,84,52,0.05,0.16,0.21,0.05,0.21,0.15,0.12,0.28,0.15,0.28,Matches
449,Attila Szalai,hu HUN,DF,Hoffenheim,25,1998,4,4,288,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,2,13,3,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches
450,Attila Szalai,hu HUN,DF,Freiburg,25,1998,3,0,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches
Rk
451,Jonathan Tah,de GER,DF,Leverkusen,27,1996,31,30,2631,29.2,4,1,5,4,0,0,6,0,2.1,2.1,0.3,2.3,17,133,4,0.14,0.03,0.17,0.14,0.17,0.07,0.01,0.08,0.07,0.08,Matches
452,Edmond Tapsoba,bf BFA,DF,Leverkusen,24,1999,28,23,2087,23.2,0,1,1,0,0,0,4,0,1.0,1.0,1.0,2.0,49,164,12,0.00,0.04,0.04,0.00,0.04,0.04,0.04,0.08,0.04,0.08,Matches
453,Mathys Tel,fr FRA,FWMF,Bayern Munich,18,2005,30,6,1050,11.7,7,5,12,7,0,0,2,0,3.7,3.7,2.3,6.0,45,27,122,0.60,0.43,1.03,0.60,1.03,0.32,0.20,0.52,0.32,0.52,Matches
454,Nathan Tella,ng NGA,DFMF,Leverkusen,24,1999,24,8,819,9.1,5,2,7,5,0,0,2,0,3.5,3.5,3.2,6.7,35,28,114,0.55,0.22,0.77,0.55,0.77,0.38,0.35,0.73,0.38,0.73,Matches
455,Norman Theuerkauf,de GER,MFDF,Heidenheim,36,1987,25,14,1259,14.0,0,1,1,0,0,0,3,0,0.4,0.4,0.8,1.2,15,46,17,0.00,0.07,0.07,0.00,0.07,0.03,0.06,0.09,0.03,0.09,Matches
456,Jan Thielmann,de GER,FWDF,Köln,21,2002,22,20,1579,17.5,1,0,1,1,0,0,4,1,2.3,2.3,1.1,3.3,46,51,69,0.06,0.00,0.06,0.06,0.06,0.13,0.06,0.19,0.13,0.19,Matches
457,Denis Thomalla,de GER,MFFW,Heidenheim,30,1992,21,3,446,5.0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3,22,19,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.13,0.06,0.13,Matches
458,Phillip Tietz,de GER,FW,Augsburg,26,1997,34,31,2382,26.5,8,4,12,8,0,0,1,0,8.2,8.2,2.6,10.8,19,51,115,0.30,0.15,0.45,0.30,0.45,0.31,0.10,0.41,0.31,0.41,Matches
459,Steffen Tigges,de GER,FW,Köln,25,1998,25,6,727,8.1,3,0,3,3,0,0,0,0,2.6,2.6,1.6,4.1,9,10,48,0.37,0.00,0.37,0.37,0.37,0.32,0.19,0.51,0.32,0.51,Matches
460,Umut Tohumcu,de GER,MF,Hoffenheim,18,2004,20,12,1011,11.2,0,2,2,0,0,0,5,0,0.5,0.5,1.1,1.6,18,46,27,0.00,0.18,0.18,0.00,0.18,0.04,0.10,0.14,0.04,0.14,Matches
461,Tiago Tomás,pt POR,FWMF,Wolfsburg,21,2002,26,11,1032,11.5,1,1,2,1,0,0,3,0,2.7,2.7,0.8,3.5,21,17,112,0.09,0.09,0.17,0.09,0.17,0.23,0.07,0.30,0.23,0.30,Matches
462,Fabio Torsiello,it ITA,FWDF,Darmstadt 98,18,2005,10,1,156,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,4,8,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
463,Lucas Tousart,fr FRA,MF,Union Berlin,26,1997,23,18,1572,17.5,0,0,0,0,0,0,5,0,1.5,1.5,0.9,2.4,15,51,33,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,Matches
464,Omar Traoré,de GER,DF,Heidenheim,25,1998,31,29,2472,27.5,0,2,2,0,0,0,5,0,0.3,0.3,1.3,1.6,61,78,91,0.00,0.07,0.07,0.00,0.07,0.01,0.05,0.06,0.01,0.06,Matches
465,Kevin Trapp,de GER,GK,Eint Frankfurt,33,1990,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
466,Christopher Trimmel,at AUT,DF,Union Berlin,36,1987,26,19,1646,18.3,0,2,2,0,0,0,2,1,0.6,0.5,2.1,2.6,23,86,65,0.00,0.11,0.11,0.00,0.11,0.03,0.11,0.14,0.03,0.14,Matches
467,Tuta,br BRA,DF,Eint Frankfurt,24,1999,30,30,2600,28.9,1,2,3,1,0,0,3,2,1.4,1.4,2.1,3.5,22,138,46,0.03,0.07,0.10,0.03,0.10,0.05,0.07,0.12,0.05,0.12,Matches
468,Lukas Ullrich,de GER,DFFW,Gladbach,19,2004,4,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
469,Sven Ulreich,de GER,GK,Bayern Munich,34,1988,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
470,Deniz Undav,de GER,FWMF,Stuttgart,27,1996,30,23,2089,23.2,18,10,28,18,0,1,5,0,15.0,14.3,6.5,20.8,45,120,182,0.78,0.43,1.21,0.78,1.21,0.65,0.28,0.93,0.61,0.90,Matches
471,Dayot Upamecano,fr FRA,DF,Bayern Munich,24,1998,25,19,1762,19.6,1,0,1,1,0,0,3,1,1.7,1.7,0.5,2.1,28,137,10,0.05,0.00,0.05,0.05,0.05,0.08,0.02,0.11,0.08,0.11,Matches
472,Mark Uth,de GER,MFFW,Köln,31,1991,11,3,373,4.1,0,1,1,0,0,0,2,0,2.0,2.0,1.4,3.4,12,13,29,0.00,0.24,0.24,0.00,0.24,0.49,0.33,0.83,0.49,0.83,Matches
473,Josha Vagnoman,de GER,DF,Stuttgart,22,2000,18,12,1183,13.1,2,2,4,2,0,0,2,0,1.3,1.3,1.3,2.6,19,33,67,0.15,0.15,0.30,0.15,0.30,0.10,0.10,0.20,0.10,0.20,Matches
474,Ruben Vargas,ch SUI,MFFW,Augsburg,24,1998,31,25,1962,21.8,4,5,9,4,0,0,3,0,3.9,3.9,2.4,6.3,57,77,145,0.18,0.23,0.41,0.18,0.41,0.18,0.11,0.29,0.18,0.29,Matches
475,Miloš Veljković,rs SRB,DF,Werder Bremen,27,1995,23,21,1920,21.3,2,1,3,2,0,0,2,0,1.7,1.7,0.8,2.5,16,89,13,0.09,0.05,0.14,0.09,0.14,0.08,0.04,0.12,0.08,0.12,Matches
Rk
476,Yorbe Vertessen,be BEL,FWMF,Union Berlin,22,2001,13,7,593,6.6,3,2,5,3,0,0,1,0,2.7,2.7,1.3,4.0,10,13,39,0.46,0.30,0.76,0.46,0.76,0.41,0.20,0.61,0.41,0.61,Matches
477,Oscar Vilhelmsson,se SWE,FWMF,Darmstadt 98,19,2003,26,16,1374,15.3,4,1,5,4,0,0,2,0,4.1,4.1,0.7,4.7,16,7,72,0.26,0.07,0.33,0.26,0.33,0.27,0.04,0.31,0.27,0.31,Matches
478,Kevin Vogt,de GER,DF,Hoffenheim,31,1991,16,14,1319,14.7,0,0,0,0,0,0,2,0,0.7,0.7,0.1,0.8,16,84,12,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,Matches
479,Kevin Vogt,de GER,DF,Union Berlin,31,1991,16,16,1323,14.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.1,1,41,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
480,Kevin Volland,de GER,FWMF,Union Berlin,31,1992,26,17,1345,14.9,3,4,7,1,2,3,3,2,5.3,2.9,2.6,5.6,14,48,96,0.20,0.27,0.47,0.07,0.33,0.36,0.18,0.53,0.20,0.37,Matches
